Bezirk,Name der Betreiberfirma,Adresse der Spielhalle,lon, lat
Neukölln,Spielhalle Schmiljanstraße 4 GmbH,Sonnenallee 134 12059 Berlin,  13.44396, 52.47947
Neukölln,S.E.S.E. Import-Export Handels GmbH,Sonnenallee 163 12059 Berlin,  13.44769, 52.47828
Neukölln,Spielhalle Schmiljanstraße 4 GmbH,Sonnenallee 201 12059 Berlin,  13.45365, 52.47531
Neukölln,Sirius Münzspielbetriebs GmbH,Sonnenallee 21 12047 Berlin,  13.42828, 52.48707
Neukölln,Lilija Spielhallen GmbH,Sonnenallee 42 12045 Berlin,  13.43135, 52.48537
Neukölln,Lilija Spielhallen GmbH,Sonnenallee 48 12045 Berlin,  13.43207, 52.48518
Neukölln,Lew Selener,Johannisthaler Chausse 295 12351 Berlin,  13.45752, 52.43157
Charlottenburg-Wilmersdorf,Aktürk Erkan,10713 Berlin Blissestraße 69,  13.32072, 52.47844
Charlottenburg-Wilmersdorf,Aktürk  Erkan,10715 Berlin Berliner Straße 9 (rechts),  13.33237, 52.48782
Charlottenburg-Wilmersdorf,Aktürk  Erkan,10715 Berlin Berliner Straße 9 (links),  13.28371, 52.58906
Charlottenburg-Wilmersdorf,Aktürk  Erkan,10713 Berlin Blissestraße 27,  13.32062, 52.48263
Charlottenburg-Wilmersdorf,Arena Dienstleistungen GmbH,10715 Berlin Wexstraße 32,  13.32956, 52.47853
Charlottenburg-Wilmersdorf,Arena Dienstleistungen GmbH,14052 Berlin Reichsstr. 103,  13.26918, 52.51103
Charlottenburg-Wilmersdorf,Augsburger 13 GmbH,10789 Berlin Augsburger Straße 11,  13.33736, 52.50035
Charlottenburg-Wilmersdorf,Basaran  Meryem,10713 Berlin Blissestraße 44,  13.32009, 52.48111
Charlottenburg-Wilmersdorf,Billard International MM GmbH,10719 Berlin Knesebeckstr. 38 /49,  13.32118, 52.50091
Charlottenburg-Wilmersdorf,Billard International MM GmbH,10719 Berlin Knesebeckstr. 38 /49,  13.32118, 52.50091
Charlottenburg-Wilmersdorf,Cakir  Osman,10627 Berlin Bismarckstr. 58,  13.30100, 52.51157
Charlottenburg-Wilmersdorf,HD Reality Gastronomie- und Unterhaltungsbetriebs GmbH,10585 Berlin Wilmersdorfer Str. 13,  13.30425, 52.51619
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10625 Berlin Bismarckstr. 102a,  13.31334, 52.51162
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10625 Berlin Bismarckstr. 102a,  13.31334, 52.51162
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10585 Berlin Wilmersdorfer Str. 142,  13.30545, 52.51248
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10585 Berlin Wilmersdorfer Str. 142,  13.30545, 52.51248
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,  Bismarckstr. 72 10627 Berlin  ,  13.29998, 52.51085
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10627 Berlin Bismarckstr. 72,  13.29998, 52.51085
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,14057 Berlin Kaiserdamm 39,  13.27492, 52.50986
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,14059 Berlin Sophie-Charlotten-Str. 35,  13.28737, 52.51468
Charlottenburg-Wilmersdorf,Hohenzollerndamm 193 Spielhalle GmbH,10717 Berlin Uhlandstraße 106,  13.32291, 52.48786
Charlottenburg-Wilmersdorf,Hohenzollerndamm 193 Spielhalle GmbH,10717 Berlin Uhlandstraße 106a,  13.32294, 52.48805
Charlottenburg-Wilmersdorf,Kaplankiran  Filiz,10625 Berlin Kantstr. 40,  13.31332, 52.50663
Charlottenburg-Wilmersdorf,Kirkan  Sebiha,10715 Berlin Bundesplatz 14,  13.32938, 52.47890
Charlottenburg-Wilmersdorf,L S 4 Spielhallen GmbH,10789 Berlin Nürnberger Str. 22,  13.33730, 52.50165
Charlottenburg-Wilmersdorf,L S 4 Spielhallen GmbH,10789 Berlin Nürnberger Str. 22,  13.33730, 52.50165
Charlottenburg-Wilmersdorf,LS6 Spielhallen GmbH,10585 Berlin Otto-Suhr-Allee 7,  13.31917, 52.51333
Charlottenburg-Wilmersdorf,LS6 Spielhallen GmbH,10585 Berlin Otto-Suhr-Allee 7,  13.31917, 52.51333
Charlottenburg-Wilmersdorf,Max Bet Entertainment GmbH,10623 Berlin Uhlandstr. 185,  13.32586, 52.50434
Charlottenburg-Wilmersdorf,Max Bet Entertainment GmbH,10623 Berlin Uhlandstr. 185,  13.32586, 52.50434
Charlottenburg-Wilmersdorf,Max Bet Entertainment GmbH,10623 Berlin Uhlandstr. 185,  13.32586, 52.50434
Charlottenburg-Wilmersdorf,Mirage Entertainment GmbH,10719 Berlin Uhlandstr. 27,  13.32484, 52.50172
Charlottenburg-Wilmersdorf,Mirage Entertainment GmbH,10719 Berlin Uhlandstr. 27,  13.32484, 52.50172
Charlottenburg-Wilmersdorf,Poljak Spielhallen GmbH,14057 Berlin Kaiserdamm 39,  13.27492, 52.50986
Charlottenburg-Wilmersdorf,Poljak Spielhallen GmbH,14059 Berlin Sophie-Charlotten-Str. 35,  13.28737, 52.51468
Charlottenburg-,Schlafstein Automaten GmbH,10627 Berlin Kaiser-Friedrich-Str. 59,  13.30266, 52.50721
Charlottenburg-Wilmersdorf,Schlafstein Automaten GmbH,10707 Berlin Brandenburgische Straße 44,  13.30782, 52.49650
Charlottenburg-Wilmersdorf,Shari Spielhallen GmbH,10589 Berlin Kaiserin-Augusta-Allee 44,  13.30859, 52.52605
Charlottenburg-Wilmersdorf,Sirius Münzspielbetriebs GmbH,10625 Berlin Kantstr. 122,  13.31046, 52.50608
Charlottenburg-Wilmersdorf,Spiel Point 100 Automatenbetriebs GmbH,10627 Berlin Stuttgarter Platz 10,  13.30375, 52.50570
Charlottenburg-Wilmersdorf,Spiel Point 100 Automatenbetriebs GmbH,10627 Berlin Kantstr. 57 -58,  13.30582, 52.50697
Charlottenburg-Wilmersdorf,Spielhallen Betriebs GmbH Bismarckstraße 94,10625 Berlin Bismarckstr. 94,  13.31056, 52.51163
Charlottenburg-Wilmersdorf,Spielhallen Betriebs GmbH Bismarckstraße 94,10625 Berlin Bismarckstr. 94,  13.31056, 52.51163
Charlottenburg-Wilmersdorf,Witoba Spielhallen GmbH,10625 Berlin Leibnizstr. 35 a,  13.31441, 52.50675
Charlottenburg-Wilmersdorf,WODESSA Spielhallen GmbH,14057 Berlin Kaiserdamm 110,  13.29265, 52.51028
Charlottenburg-Wilmersdorf,Valerie Betriebs GmbH,10625 Berlin Bismarckstraße 8,  13.31763, 52.51262
Charlottenburg-Wilmersdorf,Ritzio Berlin GmbH,10709  Berlin Cicerostraße 22,  13.30093, 52.49220
Charlottenburg-Wilmersdorf,Miran Entertainment GmbH,10587 Berlin Helmhotzstraße 17,  13.32728, 52.52181
Charlottenburg-Wilmersdorf,Hohenzollerndamm 193 Spielhalle GmbH,10717 Berlin Hohenzollerndamm 193,  13.32216, 52.49283
Charlottenburg-Wilmersdorf,Jofri Entertainment GmbH,10711 Berlin Joachim-Friedrich-Straße 38,  13.29623, 52.49954
Charlottenburg-Wilmersdorf,Lucky Game GmbH,10627 Berlin Kaiser-Friedrich-Straße 49,  13.30178, 52.50715
Charlottenburg-Wilmersdorf,Ritzio Berlin GmbH,14059 Berlin Königin-Elisabeth-Str. 12,  13.28199, 52.51169
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,Casino Multi Elektronik Verwertungs GmbH,10709 Berlin Kurfürstendamm 156,  13.30324, 52.49874
Charlottenburg-Wilmersdorf,CCB Entertainment GmbH,10789 Berlin Nürnberger Straße 18,  13.33783, 52.50224
Charlottenburg-Wilmersdorf,CCB Entertainment GmbH,10789 Berlin Nürnberger Straße 18,  13.33783, 52.50224
Charlottenburg-Wilmersdorf,Automaten-Casino 777 GmbH,10719 Berlin Uhlandstraße 38,  13.32467, 52.49974
Charlottenburg-Wilmersdorf,Ritzio Berlin GmbH,10629 Berlin Wilmersdorfer Straße 76,  13.30748, 52.50284
Charlottenburg-Wilmersdorf,Ritzio Berlin GmbH,10629 Berlin Wilmersdorfer Straße 76,  13.30748, 52.50284
Charlottenburg-Wilmersdorf,Helene Spielhallen GmbH,10585 Berlin Wilmersdorfer Straße 165,  13.30473, 52.51761
Steglitz-Zehlendorf, Seycan Aslan  ,Machnower Str. 3 14165 Berlin,  13.25854, 52.43046
Steglitz-Zehlendorf,Lankwitzer Str. Spielhallen GmbH,Kranoldplatz 3 12209 Berlin,  13.32772, 52.42871
Steglitz-Zehlendorf,Schloßstraße 95 Spielhallen GmbH,Schloßstr. 95 12163 Berlin,  13.32280, 52.45839
Steglitz-Zehlendorf,Schloßstraße 95 Spielhallen GmbH,Schloßstr. 95 12163 Berlin,  13.32280, 52.45839
Steglitz-Zehlendorf,Glücksmühle GmbH,Steglitzer Damm 40 12169 Berlin,  13.34217, 52.45038
Steglitz-Zehlendorf,Leko Spielhallen GmbH,Albrechtstr. 27 12167 Berlin,  13.33005, 52.45341
Steglitz-Zehlendorf,California Spielothek Albrechtstr. GmbH,Albrechtstr. 7 12165 Berlin,  13.32394, 52.45592
Steglitz-Zehlendorf,L S 5 Spielhallen GmbH,Potsdamer Str. 1 14163 Berlin,  13.25918, 52.43564
Steglitz-Zehlendorf,Tin Star Spielhallen GmbH,Steglitzer Damm 14 12161 Berlin,  13.33854, 52.45079
